RuleBased; smartCross; smallElite;9428;0;10000; 1221_0710;0;Rule Based;média;variância;desvio padrão
RuleBased; smartCross; smallElite;9190;0;10000; 1221_1430;0;Track 1;9504,8;43559,36;208,7087923
RuleBased; smartCross; smallElite;9838;0;10000; 1221_2010;0;Track 2;6040;5684377,2;2384,193197
RuleBased; smartCross; smallElite;9528;0;10000; 1222_0439;0;Track 3;4870,8;805456,16;897,4720943
RuleBased; smartCross; smallElite;9540;0;10000; 1222_1056;0;Track 4;5036;2427422,8;1558,01887
RuleBased; smartCross; smallElite;6136;1;10000; 1221_0710;0;Track 5;3494;334179,6;578,082693
RuleBased; smartCross; smallElite;3353;1;10000; 1221_1100;0;;;;
RuleBased; smartCross; smallElite;10216;1;10000; 1221_1340;0;Uniform;média;variância;desvio padrão
RuleBased; smartCross; smallElite;4130;1;10000; 1221_2136;0;Track 1;4478,4;89399,44;298,9973913
RuleBased; smartCross; smallElite;6365;1;10000; 1222_0042;0;Track 2;3433,2;69922,56;264,4287428
RuleBased; smartCross; smallElite;5551;2;10000; 1221_0710;0;Track 3;2995,2;30971,36;175,9868177
RuleBased; smartCross; smallElite;5841;2;10000; 1221_1144;0;Track 4;2998,6;259823,04;509,7283983
RuleBased; smartCross; smallElite;4802;2;10000; 1221_1607;0;Track 5;3350,8;72383,76;269,0423015
RuleBased; smartCross; smallElite;4907;2;10000; 1221_1943;0;;;;
RuleBased; smartCross; smallElite;3253;2;10000; 1221_2254;0;Heuristic;média;variância;desvio padrão
RuleBased; smartCross; smallElite;5156;3;10000; 1221_0710;0;Track 1;10034,4;936,64;30,60457482
RuleBased; smartCross; smallElite;4446;3;10000; 1221_1005;0;Track 2;10088,2;5102,96;71,43500542
RuleBased; smartCross; smallElite;4175;3;10000; 1221_1239;0;Track 3;10071;64002,8;252,9877467
RuleBased; smartCross; smallElite;3449;3;10000; 1221_1620;0;Track 4;7841,4;402827,84;634,6871985
RuleBased; smartCross; smallElite;7954;3;10000; 1221_1853;0;Track 5;6972,6;84308,64;290,3595013
