Agent; Crossover; Breeding; Score; Level Difficulty; Generations; Timestamp; Beaten at
RSJProb; splitCross; smallElite;9402;0;1000; 1204_0357;1
RSJProb; splitCross; smallElite;9460;0;1000; 1204_0357;1
RSJProb; splitCross; smallElite;9680;0;1000; 1204_0357;1
RSJProb; splitCross; smallElite;9466;0;1000; 1204_0357;1
RSJProb; splitCross; smallElite;9728;0;1000; 1204_0357;1
RSJProb; splitCross; smallElite;9610;1;1000; 1204_0357;111
RSJProb; splitCross; smallElite;9037;1;1000; 1204_0358;108
RSJProb; splitCross; smallElite;9424;1;1000; 1204_0359;641
RSJProb; splitCross; smallElite;8942;1;1000; 1204_0405;181
RSJProb; splitCross; smallElite;9538;1;1000; 1204_0406;109
RSJProb; splitCross; smallElite;9805;2;1000; 1204_0407;1370
RSJProb; splitCross; smallElite;9102;2;1000; 1204_0416;535
RSJProb; splitCross; smallElite;9972;2;1000; 1204_0420;5368
RSJProb; splitCross; smallElite;9456;2;1000; 1204_0452;2092
RSJProb; splitCross; smallElite;9529;2;1000; 1204_0505;2594
RSJProb; splitCross; smallElite;8951;3;1000; 1204_0522;153084
RSJProb; splitCross; smallElite;10874;3;1000; 1204_1656;13835
RSJProb; smartCross; smallElite;9422;0;1000; 1204_1823;1
RSJProb; smartCross; smallElite;9646;0;1000; 1204_1823;1
RSJProb; smartCross; smallElite;9506;0;1000; 1204_1823;1
RSJProb; smartCross; smallElite;9524;0;1000; 1204_1823;1
RSJProb; smartCross; smallElite;9446;0;1000; 1204_1823;1
RSJProb; smartCross; smallElite;9340;1;1000; 1204_1823;43
RSJProb; smartCross; smallElite;9352;1;1000; 1204_1824;44
RSJProb; smartCross; smallElite;9018;1;1000; 1204_1824;37
RSJProb; smartCross; smallElite;9536;1;1000; 1204_1825;80
RSJProb; smartCross; smallElite;9523;1;1000; 1204_1825;164
RSJProb; smartCross; smallElite;10055;2;1000; 1204_1827;1196
RSJProb; smartCross; smallElite;9344;2;1000; 1204_1834;9890
RSJProb; smartCross; smallElite;8993;2;1000; 1204_1940;343
RSJProb; smartCross; smallElite;9434;2;1000; 1204_1942;1479
RSJProb; smartCross; smallElite;9340;2;1000; 1204_1952;9914
RSJProb; smartCross; smallElite;10252;3;1000; 1204_2054;34009
RSJProb; smartCross; smallElite;8976;3;1000; 1204_2341;113316
RSJProb; smartCross; smallElite;9501;3;1000; 1205_0906;655753
RSJProb; smartCross; smallElite;9881;3;1000; 1207_1052;499731
RSJProb; smartCross; smallElite;9260;3;1000; 1209_1006;310631
RSJProb; smartCross; smallElite;9170;4;1000; 1210_1159;218955
RSJProb; smartCross; Competition;9269;1;1; 1218_1053;244
RSJProb; smartCross; Competition;9502;1;1; 1218_1056;83
RSJProb; smartCross; Competition;8688;1;1; 1218_1056;546
RSJProb; smartCross; Competition;9082;1;1; 1218_1101;239
RSJProb; smartCross; Competition;9240;1;1; 1218_1103;355
RSJProb; smartCross; Competition;33933;1;1; 1218_1207;481
RSJProb; smartCross; Competition;33968;1;1; 1218_1211;568
RSJProb; smartCross; Competition;33981;1;1; 1218_1219;42
RSJProb; smartCross; Competition;33923;1;1; 1218_1219;1031
RSJProb; smartCross; Competition;33954;1;1; 1218_1228;76
RSJProb; smartCross; Competition;33957;1;1; 1218_1232;342
RSJProb; smartCross; Competition;33926;1;1; 1218_1235;417
RSJProb; smartCross; Competition;33933;1;1; 1218_1239;302
RSJProb; smartCross; Competition;33937;1;1; 1218_1241;43
RSJProb; smartCross; Competition;33961;1;1; 1218_1241;310
RSJProb; smartCross; Competition;9361;1;1; 1218_1253;801
RSJProb; smartCross; Competition;9411;1;1; 1218_1300;253
RSJProb; smartCross; Competition;9359;1;1; 1218_1302;260
RSJProb; smartCross; Competition;9358;1;1; 1218_1304;246
RSJProb; smartCross; Competition;9349;1;1; 1218_1306;610
RSJProb; smartCross; Competition;9354;2;2; 1219_0609;48377
RSJProb; smartCross; Competition;9352;2;2; 1219_1012;18698
RSJProb; smartCross; Competition;9351;2;2; 1219_1153;77667
RSJProb; smartCross; Competition;9357;2;2; 1219_1847;21257
RSJProb; smartCross; Competition;9382;2;2; 1219_2039;9662
RSJProb; smartCross; Competition;8962;3;3; 1223_1323;878952
RSJProb; smartCross; Competition;11440;3;3; 1221_0705;226294
RSJProb; smartCross; Competition;10184;3;3; 1221_2231;112400
RSJProb; smartCross; Competition;11207;3;3; 1222_0624;292059
RSJProb; smartCross; Competition;10003;3;3; 1223_0359;133427
RSJProb; smartCross; Competition;9357;4;4; 1221_0034;670653
RSJProb; smartCross; Competition;9359;4;4; 1218_1308;616382
RSJProb; smartCross; Competition;9361;4;4; 1223_1519;1703240
RSJProb; smartCross; Competition;9347;4;4; 1229_1844;192270
RSJProb; smartCross; Competition;9361;4;4; 1230_1242;743640
